<Title: (Anesthesia) - Pulling Teeth, Artist: Metallica, Album: Kill 'Em All, Genre: Thrash Metal, Year: 1983>
<Title: In Your Crosshairs, Artist: Knuckle Puck, Album: Copacetic, Genre: Emo, Year: 2015>
<Title: Into the Night, Artist: Alkaline Trio, Album: Agony & Irony, Genre: Pop punk, Year: 2008>
<Title: Intro, Artist: Sum 41, Album: Chuck, Genre: Pop punk, Year: 2004>
<Title: Introduction to Destruction, Artist: Sum 41, Album: All Killer, No Filler, Genre: Pop punk, Year: 2001>
<Title: Jump in the Fire, Artist: Metallica, Album: Kill 'Em All, Genre: Thrash Metal, Year: 1983>
<Title: Kaleidoscope, Artist: Blink-182, Album: Neighborhoods, Genre: Alternative Rock, Year: 2011>
<Title: Late Nights In My Car, Artist: Real Friends, Album: Put Yourself Back Together, Genre: Pop punk, Year: 2013>
<Title: Live Young, Die Fast, Artist: Alkaline Trio, Album: Agony & Irony, Genre: Pop punk, Year: 2008>
<Title: Loose Ends, Artist: Real Friends, Album: Maybe This Place Is the Same and We're Just Changing, Genre: Pop punk, Year: 2014>
<Title: Lost Boy, Artist: Real Friends, Album: Put Yourself Back Together, Genre: Pop punk, Year: 2013>
<Title: Lost and Rendered, Artist: Alkaline Trio, Album: Agony & Irony, Genre: Pop punk, Year: 2008>
<Title: Love Is Dangerous, Artist: Blink-182, Album: Neighborhoods, Genre: Alternative Rock, Year: 2011>
<Title: Love Love, Kiss Kiss, Artist: Alkaline Trio, Album: Agony & Irony, Genre: Pop punk, Year: 2008>
<Title: M O, Artist: Vending Machetes, Album: Vending Machetes, Genre: Alternative, Year: 2010>
<Title: MH 4.18.2011, Artist: Blink-182, Album: Neighborhoods, Genre: Alternative Rock, Year: 2011>
<Title: Maybe This Place Is the Same, Artist: Real Friends, Album: Maybe This Place Is the Same and We're Just Changing, Genre: Pop punk, Year: 2014>
<Title: Mercy Me, Artist: Alkaline Trio, Album: Crimson, Genre: Punk rock, Year: 2005>
<Title: Metal Militia, Artist: Metallica, Album: Kill 'Em All, Genre: Thrash Metal, Year: 1983>
<Title: Midnight, Artist: Red Hot Chili Peppers, Album: By the Way, Genre: Alternative, Year: 2002>
<Title: Minor Thing, Artist: Red Hot Chili Peppers, Album: By the Way, Genre: Alternative, Year: 2002>
<Title: Mock, Artist: The Story So Far, Album: The Story So Far, Genre: Pop Punk, Year: 2015>
<Title: Moron, Artist: Sum 41, Album: Chuck, Genre: Pop punk, Year: 2004>
<Title: Motivation, Artist: Sum 41, Album: All Killer, No Filler, Genre: Pop punk, Year: 2001>
<Title: Motorbreath, Artist: Metallica, Album: Kill 'Em All, Genre: Thrash Metal, Year: 1983>
<Title: Mr. Amsterdam, Artist: Sum 41, Album: Does This Look Infected?, Genre: Pop punk, Year: 2002>
<Title: Mr. Chainsaw, Artist: Alkaline Trio, Album: From Here to Infirmary, Genre: Punk rock, Year: 2000>
<Title: Mt. Diablo, Artist: The Story So Far, Album: Under Soil and Dirt, Genre: Pop Punk, Year: 2011>
<Title: My Direction, Artist: Sum 41, Album: Does This Look Infected?, Genre: Pop punk, Year: 2002>
<Title: Natives, Artist: Blink-182, Album: Neighborhoods, Genre: Alternative Rock, Year: 2011>
<Title: Nerve, Artist: The Story So Far, Album: The Story So Far, Genre: Pop Punk, Year: 2015>
<Title: Never Wake Up, Artist: Sum 41, Album: All Killer, No Filler, Genre: Pop punk, Year: 2001>
<Title: No Brains, Artist: Sum 41, Album: Does This Look Infected?, Genre: Pop punk, Year: 2002>
<Title: No Good, Artist: Knuckle Puck, Album: The Weight That You Buried, Genre: Pop punk, Year: 2013>
<Title: No Reason, Artist: Sum 41, Album: Chuck, Genre: Pop punk, Year: 2004>
<Title: No Remorse, Artist: Metallica, Album: Kill 'Em All, Genre: Thrash Metal, Year: 1983>
<Title: Noots, Artist: Sum 41, Album: Chuck, Genre: Pop punk, Year: 2004>
<Title: Nothing on My Back, Artist: Sum 41, Album: All Killer, No Filler, Genre: Pop punk, Year: 2001>
<Title: Oak Street, Artist: Knuckle Puck, Album: While I Stay Secluded, Genre: Pop punk, Year: 2014>
<Title: Obvious, Artist: Blink-182, Album: Blink-182, Genre: Pop Punk, Year: 2003>
<Title: Old And All Alone, Artist: Real Friends, Album: Put Yourself Back Together, Genre: Pop punk, Year: 2013>
<Title: Old Book, Artist: Real Friends, Album: Maybe This Place Is the Same and We're Just Changing, Genre: Pop punk, Year: 2014>
<Title: On Mercury, Artist: Red Hot Chili Peppers, Album: By the Way, Genre: Alternative, Year: 2002>
<Title: One Hundred Stories, Artist: Alkaline Trio, Album: Good Mourning, Genre: Punk rock, Year: 2003>
<Title: Open Your Eyes, Artist: Sum 41, Album: Chuck, Genre: Pop punk, Year: 2004>
<Title: Over My Head (Better Off Dead), Artist: Sum 41, Album: Does This Look Infected?, Genre: Pop punk, Year: 2002>
<Title: Over and Out, Artist: Alkaline Trio, Album: Agony & Irony, Genre: Pop punk, Year: 2008>
<Title: Pain for Pleasure, Artist: Sum 41, Album: All Killer, No Filler, Genre: Pop punk, Year: 2001>
<Title: Phantom, Artist: The Story So Far, Album: The Story So Far, Genre: Pop Punk, Year: 2015>
<Title: Phantom Lord, Artist: Metallica, Album: Kill 'Em All, Genre: Thrash Metal, Year: 1983>
<Title: Pieces, Artist: Sum 41, Album: Chuck, Genre: Pop punk, Year: 2004>
<Title: Placeholder, Artist: The Story So Far, Album: Under Soil and Dirt, Genre: Pop Punk, Year: 2011>
<Title: Playing the Victim, Artist: The Story So Far, Album: What You Don't See, Genre: Pop Punk, Year: 2013>
<Title: Poison Pen Letter, Artist: Knuckle Puck, Album: Copacetic, Genre: Emo, Year: 2015>
<Title: Ponder, Artist: Knuckle Puck, Album: Copacetic, Genre: Emo, Year: 2015>
<Title: Pretense, Artist: Knuckle Puck, Album: Copacetic, Genre: Emo, Year: 2015>
<Title: Prevent This Tragedy, Artist: Alkaline Trio, Album: Crimson, Genre: Punk rock, Year: 2005>
<Title: Prints in Cement, Artist: Vending Machetes, Album: Vending Machetes, Genre: Alternative, Year: 2010>
<Title: Private Eye, Artist: Alkaline Trio, Album: From Here to Infirmary, Genre: Punk rock, Year: 2000>
<Title: Quicksand, Artist: The Story So Far, Album: Under Soil and Dirt, Genre: Pop Punk, Year: 2011>
<Title: Rally Cap, Artist: The Story So Far, Album: Under Soil and Dirt, Genre: Pop Punk, Year: 2011>
<Title: Rhythms, Artist: Sum 41, Album: All Killer, No Filler, Genre: Pop punk, Year: 2001>
<Title: Ride the Lightning, Artist: Metallica, Album: Ride the Lightning, Genre: Thrash Metal, Year: 1984>
<Title: Right Here, Artist: The Story So Far, Album: What You Don't See, Genre: Pop Punk, Year: 2013>
<Title: Roam, Artist: The Story So Far, Album: Under Soil and Dirt, Genre: Pop Punk, Year: 2011>
<Title: Ruckusface, Artist: Vending Machetes, Album: Vending Machetes, Genre: Alternative, Year: 2010>
<Title: Ruin It, Artist: Alkaline Trio, Album: Agony & Irony, Genre: Pop punk, Year: 2008>
<Title: Sadie, Artist: Alkaline Trio, Album: Crimson, Genre: Punk rock, Year: 2005>
<Title: Scowl, Artist: The Story So Far, Album: The Story So Far, Genre: Pop Punk, Year: 2015>
<Title: Seek & Destroy, Artist: Metallica, Album: Kill 'Em All, Genre: Thrash Metal, Year: 1983>
<Title: Settle for Satin, Artist: Alkaline Trio, Album: Crimson, Genre: Punk rock, Year: 2005>
<Title: Short Song, Artist: Real Friends, Album: Maybe This Place Is the Same and We're Just Changing, Genre: Pop punk, Year: 2014>
<Title: Sixteen, Artist: Real Friends, Album: Maybe This Place Is the Same and We're Just Changing, Genre: Pop punk, Year: 2014>
<Title: Skin Deep, Artist: Real Friends, Album: Put Yourself Back Together, Genre: Pop punk, Year: 2013>
<Title: Slipping Away, Artist: Sum 41, Album: Chuck, Genre: Pop punk, Year: 2004>
<Title: Small Talk, Artist: The Story So Far, Album: What You Don't See, Genre: Pop Punk, Year: 2013>
<Title: Smile, Artist: The Story So Far, Album: The Story So Far, Genre: Pop Punk, Year: 2015>
<Title: Smoke, Artist: Alkaline Trio, Album: Crimson, Genre: Punk rock, Year: 2005>
<Title: Smut Glutton, Artist: Vending Machetes, Album: Vending Machetes, Genre: Alternative, Year: 2010>
<Title: Snake Charmer, Artist: Blink-182, Album: Neighborhoods, Genre: Alternative Rock, Year: 2011>
<Title: Solo, Artist: The Story So Far, Album: The Story So Far, Genre: Pop Punk, Year: 2015>
<Title: Some Say, Artist: Sum 41, Album: Chuck, Genre: Pop punk, Year: 2004>
<Title: Spread Me All Over Illinois, Artist: Real Friends, Album: Maybe This Place Is the Same and We're Just Changing, Genre: Pop punk, Year: 2014>
<Title: Stalemate, Artist: The Story So Far, Album: The Story So Far, Genre: Pop Punk, Year: 2015>
<Title: States and Minds, Artist: The Story So Far, Album: Under Soil and Dirt, Genre: Pop Punk, Year: 2011>
<Title: Stateside, Artist: Knuckle Puck, Album: The Weight That You Buried, Genre: Pop punk, Year: 2013>
<Title: Stationary, Artist: Knuckle Puck, Album: Copacetic, Genre: Emo, Year: 2015>
<Title: Steamer Trunk, Artist: Alkaline Trio, Album: From Here to Infirmary, Genre: Punk rock, Year: 2000>
<Title: Stifled, Artist: The Story So Far, Album: What You Don't See, Genre: Pop Punk, Year: 2013>
<Title: Still Waiting, Artist: Sum 41, Album: Does This Look Infected?, Genre: Pop punk, Year: 2002>
<Title: Stockholm Syndrome, Artist: Blink-182, Album: Blink-182, Genre: Pop Punk, Year: 2003>
<Title: Stupid Kid, Artist: Alkaline Trio, Album: From Here to Infirmary, Genre: Punk rock, Year: 2000>
<Title: Subject to Change, Artist: Sum 41, Album: Chuck, Genre: Pop punk, Year: 2004>
<Title: Summer, Artist: Sum 41, Album: All Killer, No Filler, Genre: Pop punk, Year: 2001>
<Title: Summer, Artist: Real Friends, Album: Maybe This Place Is the Same and We're Just Changing, Genre: Pop punk, Year: 2014>
<Title: Swing, Artist: Knuckle Puck, Album: Copacetic, Genre: Emo, Year: 2015>
<Title: Swords and Pens, Artist: The Story So Far, Album: Under Soil and Dirt, Genre: Pop Punk, Year: 2011>
<Title: Take Lots with Alcohol, Artist: Alkaline Trio, Album: From Here to Infirmary, Genre: Punk rock, Year: 2000>
<Title: Tarmac, Artist: Vending Machetes, Album: Good Grief, Genre: Alternative, Year: 2012>
<Title: Tear, Artist: Red Hot Chili Peppers, Album: By the Way, Genre: Alternative, Year: 2002>
<Title: Thanks for Nothing, Artist: Sum 41, Album: Does This Look Infected?, Genre: Pop punk, Year: 2002>
<Title: The Bitter End, Artist: Sum 41, Album: Chuck, Genre: Pop punk, Year: 2004>
<Title: The Blue Channel, Artist: Taking Back Sunday, Album: Tell All Your Friends, Genre: Emo, Year: 2002>
<Title: The Call of Ktulu, Artist: Metallica, Album: Ride the Lightning, Genre: Thrash Metal, Year: 1984>
<Title: The Fallen Interlude, Artist: Blink-182, Album: Blink-182, Genre: Pop Punk, Year: 2003>
<Title: The Four Horsemen, Artist: Metallica, Album: Kill 'Em All, Genre: Thrash Metal, Year: 1983>
<Title: The Glass, Artist: The Story So Far, Album: What You Don't See, Genre: Pop Punk, Year: 2013>
<Title: The Hell Song, Artist: Sum 41, Album: Does This Look Infected?, Genre: Pop punk, Year: 2002>
<Title: The Place Where No One Waits, Artist: Vending Machetes, Album: Good Grief, Genre: Alternative, Year: 2012>
<Title: The Poison, Artist: Alkaline Trio, Album: Crimson, Genre: Punk rock, Year: 2005>
<Title: The Zephyr Song, Artist: Red Hot Chili Peppers, Album: By the Way, Genre: Alternative, Year: 2002>
<Title: There's No 'I' in Team, Artist: Taking Back Sunday, Album: Tell All Your Friends, Genre: Emo, Year: 2002>
<Title: There's No Solution, Artist: Sum 41, Album: Chuck, Genre: Pop punk, Year: 2004>
<Title: Things I Can't Change, Artist: The Story So Far, Album: What You Don't See, Genre: Pop Punk, Year: 2013>
<Title: This Could Be Love, Artist: Alkaline Trio, Album: Good Mourning, Genre: Punk rock, Year: 2003>
<Title: This Is the Place, Artist: Red Hot Chili Peppers, Album: By the Way, Genre: Alternative, Year: 2002>
<Title: This is Home, Artist: Blink-182, Album: Neighborhoods, Genre: Alternative Rock, Year: 2011>
<Title: Throw Away Your Television, Artist: Red Hot Chili Peppers, Album: By the Way, Genre: Alternative, Year: 2002>
<Title: Timberwolves at New Jersey, Artist: Taking Back Sunday, Album: Tell All Your Friends, Genre: Emo, Year: 2002>
<Title: Time to Waste, Artist: Alkaline Trio, Album: Crimson, Genre: Punk rock, Year: 2005>
<Title: To: My Old Self, Artist: Real Friends, Album: Maybe This Place Is the Same and We're Just Changing, Genre: Pop punk, Year: 2014>
<Title: Transparency, Artist: Knuckle Puck, Album: While I Stay Secluded, Genre: Pop punk, Year: 2014>
<Title: Trapped Under Ice, Artist: Metallica, Album: Ride the Lightning, Genre: Thrash Metal, Year: 1984>
<Title: Trucks and Trains, Artist: Alkaline Trio, Album: From Here to Infirmary, Genre: Punk rock, Year: 2000>
<Title: True Contrite, Artist: Knuckle Puck, Album: Copacetic, Genre: Emo, Year: 2015>
<Title: Universally Speaking, Artist: Red Hot Chili Peppers, Album: By the Way, Genre: Alternative, Year: 2002>
<Title: Untitled, Artist: Knuckle Puck, Album: Copacetic, Genre: Emo, Year: 2015>
<Title: Up All Night, Artist: Blink-182, Album: Neighborhoods, Genre: Alternative Rock, Year: 2011>
<Title: Venice Queen, Artist: Red Hot Chili Peppers, Album: By the Way, Genre: Alternative, Year: 2002>
<Title: Violence, Artist: Blink-182, Album: Blink-182, Genre: Pop Punk, Year: 2003>
<Title: Wall to Wall (Depreciation), Artist: Knuckle Puck, Album: Copacetic, Genre: Emo, Year: 2015>
<Title: Warm Tape, Artist: Red Hot Chili Peppers, Album: By the Way, Genre: Alternative, Year: 2002>
<Title: We're All to Blame, Artist: Sum 41, Album: Chuck, Genre: Pop punk, Year: 2004>
<Title: We've Had Enough, Artist: Alkaline Trio, Album: Good Mourning, Genre: Punk rock, Year: 2003>
<Title: Welcome to Hell, Artist: Sum 41, Album: Chuck, Genre: Pop punk, Year: 2004>
<Title: Whiplash, Artist: Metallica, Album: Kill 'Em All, Genre: Thrash Metal, Year: 1983>
<Title: Wishing Well, Artist: Blink-182, Album: Neighborhoods, Genre: Alternative Rock, Year: 2011>
<Title: You Know How I Do, Artist: Taking Back Sunday, Album: Tell All Your Friends, Genre: Emo, Year: 2002>
<Title: You're Dead, Artist: Alkaline Trio, Album: From Here to Infirmary, Genre: Punk rock, Year: 2000>
<Title: You're So Last Summer, Artist: Taking Back Sunday, Album: Tell All Your Friends, Genre: Emo, Year: 2002>
<Title: Your Back Porch, Artist: Knuckle Puck, Album: The Weight That You Buried, Genre: Pop punk, Year: 2013>
<Title: Your Neck, Artist: Alkaline Trio, Album: Crimson, Genre: Punk rock, Year: 2005>
